wavelength_nm,wavelength_source,Aki,aki_unit,acc,lower_conf,lower_term,lower_J,upper_conf,upper_term,upper_J,lower_energy_eV,upper_energy_eV,energy_unit
32.02935,ritz_wl_vac_nm,,1/s,,1s.2p,3P*,0,2p2,3P,"0,1,2",20.96421885051,59.67378,eV
32.02925,ritz_wl_vac_nm,,1/s,,1s.2p,3P*,1,2p2,3P,"0,1,2",20.96409636464,59.67378,eV
32.02924,ritz_wl_vac_nm,,1/s,,1s.2p,3P*,2,2p2,3P,"0,1,2",20.96408688908,59.67378,eV
50.5500354,ritz_wl_vac_nm,,1/s,,1s2,1S,0,1s.15p,1P*,1,0.0,24.527025054182,eV
50.5684333,ritz_wl_vac_nm,,1/s,,1s2,1S,0,1s.14p,1P*,1,0.0,24.518101588364,eV
50.5912527,ritz_wl_vac_nm,,1/s,,1s2,1S,0,1s.13p,1P*,1,0.0,24.507042603098,eV
50.6200349,ritz_wl_vac_nm,,1/s,,1s2,1S,0,1s.12p,1P*,1,0.0,24.493108062951,eV
50.6570577,ritz_wl_vac_nm,,1/s,,1s2,1S,0,1s.11p,1P*,1,0.0,24.475207217946,eV
50.7058027,ritz_wl_vac_nm,15929000.0,1/s,AAA,1s2,1S,0,1s.10p,1P*,1,0.0,24.451678459372,eV
50.7718102,ritz_wl_vac_nm,21826000.0,1/s,AAA,1s2,1S,0,1s.9p,1P*,1,0.0,24.419889314325,eV
50.8643383,ritz_wl_vac_nm,31031000.0,1/s,AAA,1s2,1S,0,1s.8p,1P*,1,0.0,24.37546669735,eV
50.99983,ritz_wl_vac_nm,46224000.0,1/s,AAA,1s2,1S,0,1s.7p,1P*,1,0.0,24.31070817873,eV
51.0132995,ritz_wl_vac_nm,0.0107,1/s,C,1s2,1S,0,1s.7p,3P*,2,0.0,24.30428920147,eV
51.209857,ritz_wl_vac_nm,73174000.0,1/s,AAA,1s2,1S,0,1s.6p,1P*,1,0.0,24.21100267716,eV
51.2135649,ritz_wl_vac_nm,264.8,1/s,AAA,1s2,1S,0,1s.6d,1D,2,0.0,24.209249793955,eV
51.2314135,ritz_wl_vac_nm,0.0153,1/s,C,1s2,1S,0,1s.6p,3P*,2,0.0,24.20081545451,eV
51.5616849,ritz_wl_vac_nm,125820000.0,1/s,AAA,1s2,1S,0,1s.5p,1P*,1,0.0,24.04580040653,eV
51.5681122,ritz_wl_vac_nm,431.36,1/s,AAA,1s2,1S,0,1s.5d,1D,2,0.0,24.042803412125,eV
51.5993995,ritz_wl_vac_nm,0.0264,1/s,C,1s2,1S,0,1s.5p,3P*,2,0.0,24.028225064,eV
52.2213093,ritz_wl_vac_nm,243560000.0,1/s,AAA,1s2,1S,0,1s.4p,1P*,1,0.0,23.7420700688,eV
52.2339267,ritz_wl_vac_nm,748.48,1/s,AAA,1s2,1S,0,1s.4d,1D,2,0.0,23.73633503536,eV
52.2965949,ritz_wl_vac_nm,0.052,1/s,C,1s2,1S,0,1s.4p,3P*,2,0.0,23.7078912279,eV
53.7029926,ritz_wl_vac_nm,566340000.0,1/s,AAA,1s2,1S,0,1s.3p,1P*,1,0.0,23.0870185296,eV
53.733118,ritz_wl_vac_nm,1299.0,1/s,AA,1s2,1S,0,1s.3d,1D,2,0.0,23.07407479777,eV
53.8896007,ritz_wl_vac_nm,0.121,1/s,C,1s2,1S,0,1s.3p,3P*,2,0.0,23.00707314571,eV
58.4334366,ritz_wl_vac_nm,1798900000.0,1/s,AAA,1s2,1S,0,1s.2p,1P*,1,0.0,21.2180227112,eV
59.141208,ritz_wl_vac_nm,176.4,1/s,AA,1s2,1S,0,1s.2p,3P*,1,0.0,20.96409636464,eV
59.1412348,ritz_wl_vac_nm,0.327,1/s,A,1s2,1S,0,1s.2p,3P*,2,0.0,20.96408688908,eV
62.5563117,ritz_wl_vac_nm,0.0001272,1/s,AA,1s2,1S,0,1s.2s,3S,1,0.0,19.819614525,eV
257.79,ritz_wl_vac_nm,,1/s,,2s.2p,3P*,"0,1,2",2p.3p,3D,"1,2,3",58.311,63.119,eV
267.7128036,ritz_wl_vac_nm,441740.0,1/s,AAA,1s.2s,3S,1,1s.10p,3P*,0,19.819614525,24.44947779185,eV
267.7128518,ritz_wl_vac_nm,441740.0,1/s,AAA,1s.2s,3S,1,1s.10p,3P*,1,19.819614525,24.44947695951,eV
267.7128557,ritz_wl_vac_nm,441740.0,1/s,AAA,1s.2s,3S,1,1s.10p,3P*,2,19.819614525,24.44947689179,eV
269.6117592,ritz_wl_vac_nm,602340.0,1/s,AAA,1s.2s,3S,1,1s.9p,3P*,0,19.819614525,24.41687012452,eV
269.6118264,ritz_wl_vac_nm,602340.0,1/s,AAA,1s.2s,3S,1,1s.9p,3P*,1,19.819614525,24.41686897915,eV
269.6118319,ritz_wl_vac_nm,602340.0,1/s,AAA,1s.2s,3S,1,1s.9p,3P*,2,19.819614525,24.41686888593,eV
272.3191003,ritz_wl_vac_nm,849960.0,1/s,AAA,1s.2s,3S,1,1s.8p,3P*,0,19.819614525,24.37116765163,eV
272.3191983,ritz_wl_vac_nm,849960.0,1/s,AAA,1s.2s,3S,1,1s.8p,3P*,1,19.819614525,24.37116601407,eV
272.3192063,ritz_wl_vac_nm,849960.0,1/s,AAA,1s.2s,3S,1,1s.8p,3P*,2,19.819614525,24.37116588077,eV
276.3801583,ritz_wl_vac_nm,1250800.0,1/s,AAA,1s.2s,3S,1,1s.7p,3P*,0,19.819614525,24.30429185947,eV
276.3803097,ritz_wl_vac_nm,1250800.0,1/s,AAA,1s.2s,3S,1,1s.7p,3P*,1,19.819614525,24.30428940164,eV
276.3803221,ritz_wl_vac_nm,1250800.0,1/s,AAA,1s.2s,3S,1,1s.7p,3P*,2,19.819614525,24.30428920147,eV
